raw_file_name,scene_name,processing_date_yymmdd,ome_tif_file_name,location,microscope,objective,experiment,condition_1,infectious_organism,condition_2,imaging_hours,well,channel_0,channel_1,channel_2,channel_3,channel_4,physical_size_unit_x,physical_size_unit_y,dtype,size_t,size_c,size_z,size_y,physical_size_y,size_x,physical_size_x,dims_order,int_well,treatment,is_train,plls-0,plls-1,plls-2,plls-3,plls-4,normalized_intensity_skewness-0,normalized_intensity_skewness-1,normalized_intensity_skewness-2,normalized_intensity_skewness-3,normalized_intensity_skewness-4,mean_over_std-0,mean_over_std-1,mean_over_std-2,mean_over_std-3,mean_over_std-4,flag,background_funct_date,background_funct_avg_method,background_funct_ball_radius,background_funct_white_bg-0,background_funct_white_bg-1,background_funct_white_bg-2,background_funct_white_bg-3,background_funct_white_bg-4,background_funct_gau_smooth,illumination_correction_date,illumination_correction_file_name,illumination_correction_method,illumination_correction_offset,illumination_correction_rescale_background,illumination_correction_clip_output,illumination_correction_min_clip_value,illumination_correction_max_clip_value,illumination_correction_offset_background,segmentation_date,segmentation_file_name,segmentation_method,segmentation_method_version,cellpose_diameter,cellpose_flow_threshold,cellpose_cellprob_threshold,downsampling_factor,nucleus_median_filter_size,concactin_merge_median_filter_size,resize_order,output_dtype,features_extraction_date,features_data_frame,features_extraction_preprocessing
H7_DENV2_MOI1_40h_fixed_stained_well4.nd2,A1,260804,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_A1.ome.tif,Center for Integrative Infectious Disease Research - Heidelberg (Germany),Nikon Ti2 - CSU-W1 - spinning disc,Nikon Apochromat Lambda-S 60x/1.40 Oil,A07.3,H7,DENV2,MOI1,40h,well4,Hoechst,Concanavalin-A-488,Phalloidin-568,anti-Nonstructural-Protein-3-647,Differential-Interference-Contrast,micron,micron,uint16,1,5,1,1024,0.325,1024,0.325,CYX,4,infected_JNJ_1802,1,-2.328644742472445,-2.3947615524983434,-2.976066834288006,-1.200684953190435,-2.520772694380616,1.957154472776896,1.774329188523521,3.606323038135988,128.19301024951403,0.8478205450631118,5.394061992055529,4.193349782889262,1.6536941904953926,20.88334351818308,14.074537093215373,0,260813,median,200,False,False,False,False,True,100,260819,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_A1_bg.ome.tif,division,400,max,False,0,,True,260824,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_A1_bg_segmentation.ome.tif,cellpose,4.2.1.1,75,0.4,0.0,2,3,3,0,uint16,260824,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_A1_bg.csv,move channel axis to last position; gaussian smoothing with sigma 3 along last axis; exclude labels touching image edge
H7_DENV2_MOI1_40h_fixed_stained_well4.nd2,A2,260804,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_A2.ome.tif,Center for Integrative Infectious Disease Research - Heidelberg (Germany),Nikon Ti2 - CSU-W1 - spinning disc,Nikon Apochromat Lambda-S 60x/1.40 Oil,A07.3,H7,DENV2,MOI1,40h,well4,Hoechst,Concanavalin-A-488,Phalloidin-568,anti-Nonstructural-Protein-3-647,Differential-Interference-Contrast,micron,micron,uint16,1,5,1,1024,0.325,1024,0.325,CYX,4,infected_JNJ_1802,1,-2.752154510587264,-2.365113184155138,-2.954361949170196,-0.6675814645917006,-2.519640314288082,1.847956665471561,1.350696144006239,2.7099346770730373,0.9368421172596704,0.9271904697018516,2.021265776286794,3.354362907079518,1.6490088585948195,26.905483518607245,14.29835531104933,0,260813,median,200,False,False,False,False,True,100,260819,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_A2_bg.ome.tif,division,400,max,False,0,,True,260824,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_A2_bg_segmentation.ome.tif,cellpose,4.2.1.1,75,0.4,0.0,2,3,3,0,uint16,260824,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_A2_bg.csv,move channel axis to last position; gaussian smoothing with sigma 3 along last axis; exclude labels touching image edge
H7_DENV2_MOI1_40h_fixed_stained_well4.nd2,A3,260804,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_A3.ome.tif,Center for Integrative Infectious Disease Research - Heidelberg (Germany),Nikon Ti2 - CSU-W1 - spinning disc,Nikon Apochromat Lambda-S 60x/1.40 Oil,A07.3,H7,DENV2,MOI1,40h,well4,Hoechst,Concanavalin-A-488,Phalloidin-568,anti-Nonstructural-Protein-3-647,Differential-Interference-Contrast,micron,micron,uint16,1,5,1,1024,0.325,1024,0.325,CYX,4,infected_JNJ_1802,1,-2.374530172045849,-2.019576713071317,-2.966607802476371,-0.6280565452057486,-2.553326665665054,1.7559243497116122,1.5168971111906806,3.083298091810601,0.1754752323255538,0.982099415204588,4.880974064397651,6.92265246228719,1.7087263927893208,27.61430035300618,13.94005194475661,0,260813,median,200,False,False,False,False,True,100,260819,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_A3_bg.ome.tif,division,400,max,False,0,,True,260824,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_A3_bg_segmentation.ome.tif,cellpose,4.2.1.1,75,0.4,0.0,2,3,3,0,uint16,260824,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_A3_bg.csv,move channel axis to last position; gaussian smoothing with sigma 3 along last axis; exclude labels touching image edge
H7_DENV2_MOI1_40h_fixed_stained_well4.nd2,A4,260804,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_A4.ome.tif,Center for Integrative Infectious Disease Research - Heidelberg (Germany),Nikon Ti2 - CSU-W1 - spinning disc,Nikon Apochromat Lambda-S 60x/1.40 Oil,A07.3,H7,DENV2,MOI1,40h,well4,Hoechst,Concanavalin-A-488,Phalloidin-568,anti-Nonstructural-Protein-3-647,Differential-Interference-Contrast,micron,micron,uint16,1,5,1,1024,0.325,1024,0.325,CYX,4,infected_JNJ_1802,1,-2.760755122384084,-2.0810358529703405,-2.9999296697287834,-0.6641866320769022,-2.572840211489045,1.833133421347079,1.860456029217614,2.851629635746534,1.298628055023018,0.8323148567214993,2.246401166846571,5.321328411667396,1.5812506295993725,27.0905849081496,13.687015392658932,0,260813,median,200,False,False,False,False,True,100,260819,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_A4_bg.ome.tif,division,400,max,False,0,,True,260824,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_A4_bg_segmentation.ome.tif,cellpose,4.2.1.1,75,0.4,0.0,2,3,3,0,uint16,260824,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_A4_bg.csv,move channel axis to last position; gaussian smoothing with sigma 3 along last axis; exclude labels touching image edge
H7_DENV2_MOI1_40h_fixed_stained_well4.nd2,A5,260804,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_A5.ome.tif,Center for Integrative Infectious Disease Research - Heidelberg (Germany),Nikon Ti2 - CSU-W1 - spinning disc,Nikon Apochromat Lambda-S 60x/1.40 Oil,A07.3,H7,DENV2,MOI1,40h,well4,Hoechst,Concanavalin-A-488,Phalloidin-568,anti-Nonstructural-Protein-3-647,Differential-Interference-Contrast,micron,micron,uint16,1,5,1,1024,0.325,1024,0.325,CYX,4,infected_JNJ_1802,1,-2.573314026807909,-1.7800853066889604,-3.011126944047062,-0.6281971081554613,-2.62970455596336,1.7287829071021006,1.8807710045913169,2.927050605451475,0.5099302430417001,1.151898137758106,3.764382046546443,9.720880497546826,1.6446125356134424,27.598124453296595,13.080759414150233,0,260813,median,200,False,False,False,False,True,100,260819,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_A5_bg.ome.tif,division,400,max,False,0,,True,260824,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_A5_bg_segmentation.ome.tif,cellpose,4.2.1.1,75,0.4,0.0,2,3,3,0,uint16,260824,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_A5_bg.csv,move channel axis to last position; gaussian smoothing with sigma 3 along last axis; exclude labels touching image edge
H7_DENV2_MOI1_40h_fixed_stained_well4.nd2,B7,260804,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_B7.ome.tif,Center for Integrative Infectious Disease Research - Heidelberg (Germany),Nikon Ti2 - CSU-W1 - spinning disc,Nikon Apochromat Lambda-S 60x/1.40 Oil,A07.3,H7,DENV2,MOI1,40h,well4,Hoechst,Concanavalin-A-488,Phalloidin-568,anti-Nonstructural-Protein-3-647,Differential-Interference-Contrast,micron,micron,uint16,1,5,1,1024,0.325,1024,0.325,CYX,4,infected_JNJ_1802,1,-2.785423832735169,-1.9036147734358475,-3.029901364922102,-0.7831421384725538,-2.651152121616476,1.859344106288961,1.69677399673399,2.8490297451307147,10.418760405311094,0.9183822511754158,2.127682493989348,7.208592564559802,1.5238610489177271,26.187175179780407,12.743490722843024,0,260813,median,200,False,False,False,False,True,100,260819,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_B7_bg.ome.tif,division,400,max,False,0,,True,260824,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_B7_bg_segmentation.ome.tif,cellpose,4.2.1.1,75,0.4,0.0,2,3,3,0,uint16,260824,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_B7_bg.csv,move channel axis to last position; gaussian smoothing with sigma 3 along last axis; exclude labels touching image edge
H7_DENV2_MOI1_40h_fixed_stained_well4.nd2,B6,260804,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_B6.ome.tif,Center for Integrative Infectious Disease Research - Heidelberg (Germany),Nikon Ti2 - CSU-W1 - spinning disc,Nikon Apochromat Lambda-S 60x/1.40 Oil,A07.3,H7,DENV2,MOI1,40h,well4,Hoechst,Concanavalin-A-488,Phalloidin-568,anti-Nonstructural-Protein-3-647,Differential-Interference-Contrast,micron,micron,uint16,1,5,1,1024,0.325,1024,0.325,CYX,4,infected_JNJ_1802,1,-2.577243840157005,-1.4109943045495523,-3.101505575075106,-0.6345818119506258,-2.6638479380803286,1.8275428488591607,1.5890581014452416,3.047816075084796,-0.0533175765177634,0.9762116881776212,3.536081127606137,16.010739612777293,1.4200335937945396,27.46414117273192,12.2506695162643,0,260813,median,200,False,False,False,False,True,100,260819,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_B6_bg.ome.tif,division,400,max,False,0,,True,260824,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_B6_bg_segmentation.ome.tif,cellpose,4.2.1.1,75,0.4,0.0,2,3,3,0,uint16,260824,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_B6_bg.csv,move channel axis to last position; gaussian smoothing with sigma 3 along last axis; exclude labels touching image edge
H7_DENV2_MOI1_40h_fixed_stained_well4.nd2,B3,260804,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_B3.ome.tif,Center for Integrative Infectious Disease Research - Heidelberg (Germany),Nikon Ti2 - CSU-W1 - spinning disc,Nikon Apochromat Lambda-S 60x/1.40 Oil,A07.3,H7,DENV2,MOI1,40h,well4,Hoechst,Concanavalin-A-488,Phalloidin-568,anti-Nonstructural-Protein-3-647,Differential-Interference-Contrast,micron,micron,uint16,1,5,1,1024,0.325,1024,0.325,CYX,4,infected_JNJ_1802,1,-2.803948093585688,-1.6671157674886934,-3.023483449162259,-0.6387925113550557,-2.6448692615654386,1.6091278283099606,1.593244546094459,3.139336324843868,0.5458362142017024,0.8986341028716431,1.879524273318768,10.066292383798665,1.505877207010717,27.458490018871142,12.722016709479345,0,260813,median,200,False,False,False,False,True,100,260819,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_B3_bg.ome.tif,division,400,max,False,0,,True,260824,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_B3_bg_segmentation.ome.tif,cellpose,4.2.1.1,75,0.4,0.0,2,3,3,0,uint16,260824,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_B3_bg.csv,move channel axis to last position; gaussian smoothing with sigma 3 along last axis; exclude labels touching image edge
H7_DENV2_MOI1_40h_fixed_stained_well4.nd2,B2,260804,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_B2.ome.tif,Center for Integrative Infectious Disease Research - Heidelberg (Germany),Nikon Ti2 - CSU-W1 - spinning disc,Nikon Apochromat Lambda-S 60x/1.40 Oil,A07.3,H7,DENV2,MOI1,40h,well4,Hoechst,Concanavalin-A-488,Phalloidin-568,anti-Nonstructural-Protein-3-647,Differential-Interference-Contrast,micron,micron,uint16,1,5,1,1024,0.325,1024,0.325,CYX,4,infected_JNJ_1802,1,-2.4928113798725566,-1.7941425645539366,-3.02290131512766,-0.6037372093368588,-2.6267519944848403,1.749263308215324,1.8910157945271464,3.326828830986156,-0.1441091583377689,1.063689130826676,4.236903979429576,9.715450510878552,1.5752649145556727,27.78150974771749,12.73878062930407,0,260813,median,200,False,False,False,False,True,100,260819,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_B2_bg.ome.tif,division,400,max,False,0,,True,260824,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_B2_bg_segmentation.ome.tif,cellpose,4.2.1.1,75,0.4,0.0,2,3,3,0,uint16,260824,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_B2_bg.csv,move channel axis to last position; gaussian smoothing with sigma 3 along last axis; exclude labels touching image edge
H7_DENV2_MOI1_40h_fixed_stained_well4.nd2,B1,260804,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_B1.ome.tif,Center for Integrative Infectious Disease Research - Heidelberg (Germany),Nikon Ti2 - CSU-W1 - spinning disc,Nikon Apochromat Lambda-S 60x/1.40 Oil,A07.3,H7,DENV2,MOI1,40h,well4,Hoechst,Concanavalin-A-488,Phalloidin-568,anti-Nonstructural-Protein-3-647,Differential-Interference-Contrast,micron,micron,uint16,1,5,1,1024,0.325,1024,0.325,CYX,4,infected_JNJ_1802,1,-2.715095205902029,-2.2842460126647888,-2.927457338620769,-0.7933353815332171,-2.554691695909896,1.9239322230857223,0.9928883870912696,3.077684628942731,8.503362693488818,1.403255452297468,2.4299660202709794,4.067670538475213,1.7054044408786913,25.59317532196489,13.128127932027995,0,260813,median,200,False,False,False,False,True,100,260819,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_B1_bg.ome.tif,division,400,max,False,0,,True,260824,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_B1_bg_segmentation.ome.tif,cellpose,4.2.1.1,75,0.4,0.0,2,3,3,0,uint16,260824,H7_DENV2_MOI1_40h_fixed_stained_well4_A07p3_B1_bg.csv,move channel axis to last position; gaussian smoothing with sigma 3 along last axis; exclude labels touching image edge
